sort_order,category,subcategory,year,title,authors,venue_short,venue_url,venue,link,pdf,is_new,highlights,metrics,notes
1,PhD Dissertation,,2025,From Data Resource Impacts to Fairness Realization in Speech Emotion Recognition,Woan-Shiuan Chien,NTHU,,"National Tsing Hua University, March 2025.",,,no,IEEE Taipei Section Best Doctoral Dissertation Award|IICM Ph.D. Dissertation Merit Award,,"語音情緒辨識中之資料來源影響與公平性實現, 國立清華大學電機系, 2025年3月"
2,MS Thesis,,2017,Back-propagation and Convolutional Neural Networks for Arrhythmia Electrocardiogram Classification,Woan-Shiuan Chien,CCU,,"National Chung Cheng University, July 2017.",,,no,,,"以倒傳遞及卷積神經網路辨識心律不整心電圖之研究, 國立中正大學電機系, 2017年7月"
3,International Journal,,2026,Only Subsets Matters: The Effect of Dual Fairness Constraints in Speech Emotion Recognition,Woan-Shiuan Chien and Chi-Chun Lee,TAFFC,https://www.computer.org/csdl/journal/ta,"IEEE Transactions on Affective Computing, 2026 (Accepted)",,,yes,,Impact Factor: 9.8 (2024),
4,International Journal,,2025,Affective Priming in Emotional Annotations and its Effect on Speech Emotion Recognition,"Luz Martinez-Lucas, Ali Salman, Seong-Gyun Leem, Woan-Shiuan Chien, Shreya G. Upadhyay, Chi-Chun Lee and Carlos Busso",TAFFC,https://www.computer.org/csdl/journal/ta,"IEEE Transactions on Affective Computing, 2025",https://doi.org/10.1109/TAFFC.2025.3597034,,no,,Impact Factor: 9.8 (2024),
5,International Journal,,2024,Differential Impacts of Monologue and Conversation on Speech Emotion Recognition,"Woan-Shiuan Chien, Shreya G. Upadhyay, Wei-Cheng Lin, Carlos Busso and Chi-Chun Lee",TAFFC,https://www.computer.org/csdl/journal/ta,"IEEE Transactions on Affective Computing, 2024",https://ieeexplore.ieee.org/document/10771725,,no,,Impact Factor: 9.8 (2024),
6,International Journal,,2024,Learning With Rater-Expanded Label Space to Improve Speech Emotion Recognition,"Shreya G. Upadhyay, Woan-Shiuan Chien, Bo-Hao Su, and Chi-Chun Lee",TAFFC,https://www.computer.org/csdl/journal/ta,"IEEE Transactions on Affective Computing, 2024",https://ieeexplore.ieee.org/document/10417135,,no,,Impact Factor: 9.8 (2024),
7,International Conference,,2026,Reasoning-driven Tumor Image Synthesis with Anatomical Context,"Huan-Yu Chen, Woan-Shiuan Chien, Ching-Heng Lin and Chi-Chun Lee",EMBC,https://embc.embs.org/2026/,"In Proceeding of 48th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC‘26), Toronto, Canada, July 26-30, 2026.",,,yes,,,
8,International Conference,,2026,Audience-Aware Co-Speech Gesture Generation in Public Speaking via Anticipation Tokens,"Huan-Yu Chen, Woan-Shiuan Chien and Chi-Chun Lee",ICASSP,https://2026.ieeeicassp.org/,"In Proceeding of the 51st IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP‘26), Barcelona, Spain, May 4-8, 2026.",,,yes,,,
9,International Conference,,2025,"Rethinking Multilingual and Multimodal Interactive Datasets: Challenges, Limitations and Potentials","Woan-Shiuan Chien, Huan-Yu Chen, Shu-Ying Liu, Yuan-Liang An, Ching-Shin Hsiao, Yangyang Cai, Victor Pierre Schneider, Miao Cheng, Chia-Huei Tseng and Chi-Chun Lee",ACII,https://acii-conf.net/2025/,"In Proceeding of 2025 13th IEEE International Conference on Affective Computing and Intelligent Interaction Workshops and Demos (ACIIW‘25), Canberra, Australia, October 8-11, 2025.",,,no,,,
10,International Conference,,2025,Graph Structure Learning with Local Connectivity Refinement for Improved Physiological Emotion Recognition,"Woan-Shiuan Chien, Mei-Yen Tsai and Chi-Chun Lee",MLSP,https://2025.ieeemlsp.org/en/,"In Proceeding of 2025 IEEE International Workshop on Machine Learning for Signal Processing (MLSP‘25), Istanbul, Turkey, August 31-September 3, 2025.",https://doi.org/10.1109/MLSP62443.2025.11204334,,no,,,
11,International Conference,,2025,Gradient-Aware Data Augmentation for Federated Stress Detection under Data Incompleteness,"Woan-Shiuan Chien, Huan-Yu Chen and Chi-Chun Lee",EMBC,https://ieeexplore.ieee.org/document/11252844,"In Proceeding of 47th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC‘25), Copenhagen, Denmark, July 14-17, 2025.",https://doi.org/10.1109/EMBC58623.2025.11252844,,no,,,
12,International Conference,,2025,Instrument-Aware Representation Learning for Robust Cross-Site Flow Cytometry Integration,"Huan-Yu Chen, Woan-Shiuan Chien, Yu-Fen Wang, Bor-Sheng Ko and Chi-Chun Lee",EMBC,https://biomedicalimaging.org/2025/,"In Proceeding of 47th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC‘25), Copenhagen, Denmark, July 14-17, 2025.",https://doi.org/10.1109/EMBC58623.2025.11254223,,no,,,
13,International Conference,,2025,Leveraging Foundation Models for Clinically Instructed Tumor Image Synthesis in Renal Cell Carcinoma,"Huan-Yu Chen, Woan-Shiuan Chien, Ching-Heng Lin and Chi-Chun Lee",ISBI,https://biomedicalimaging.org/2025/,"In Proceeding of the 22nd IEEE International Symposium on Biomedical Imaging (ISBI‘25), Huston, TX, USA, April 14-17, 2025.",https://doi.org/10.1109/ISBI60581.2025.10980760,,no,,,
14,International Conference,,2025,Disentangle Heart Rate Signals for Improved Stress Detection,"Pin-Jhao Chen, Woan-Shiuan Chien and Chi-Chun Lee",ICASSP,https://2025.ieeeicassp.org/,"In Proceeding of the 50th IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP‘25), Hyderabad, India, April 6-11, 2025.",https://doi.org/10.1109/ICASSP49660.2025.10888319,,no,,,
15,International Conference,,2025,A Dynamic Edge-Selection Mechanism in HRV Hypergraph Learning for Improved Stress Detection,"Jing-Chun Wang, Woan-Shiuan Chien and Chi-Chun Lee",ICASSP,https://2025.ieeeicassp.org/,"In Proceeding of the 50th IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP‘25), Hyderabad, India, April 6-11, 2025.",https://doi.org/10.1109/ICASSP49660.2025.10890191,,no,,,
16,International Conference,,2025,Is It Still Fair? Investigating Gender Fairness in Cross-Corpus Speech Emotion Recognition,"Shreya G. Upadhyay, Woan-Shiuan Chien and Chi-Chun Lee",ICASSP,https://2025.ieeeicassp.org/,"In Proceeding of the 50th IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP‘25), Hyderabad, India, April 6-11, 2025.",https://doi.org/10.1109/ICASSP49660.2025.10889760,,no,,,
17,International Conference,,2024,Understanding Missing Data Bias in Longitudinal Mental Stress Detection,Woan-Shiuan Chien and Chi-Chun Lee,BSN,https://bsn.embs.org/2024/,"In Proceedings of IEEE 21st International Conference on Body Sensor Networks (BSN‘24), Chigago, USA, Oct 15-17, 2024.",https://doi.org/10.1109/BSN63547.2024.10780500,,no,IEEE EMBS BSN Travel Awards,,
18,International Conference,,2024,Stress Detection Using HRV Features Augmentation Based on Heart Rate Signal Transformation,"Pin-Jhao Chen, Woan-Shiuan Chien, Huan-Yu Chen, and Chi-Chun Lee",BSN,https://bsn.embs.org/2024/,"In Proceedings of IEEE 21st International Conference on Body Sensor Networks (BSN‘24), Chigago, USA, Oct 15-17, 2024.",https://doi.org/10.1109/BSN63547.2024.10780687,,no,,,
19,International Conference,,2024,In-The-Wild HRV-Based Stress Detection Using Individual-Aware Metric Learning,"Jing-Chun Wang, Woan-Shiuan Chien, Huan-Yu Chen, and Chi-Chun Lee",BSN,https://bsn.embs.org/2024/,"In Proceedings of IEEE 21st International Conference on Body Sensor Networks (BSN‘24), Chigago, USA, Oct 15-17, 2024.",https://doi.org/10.1109/BSN63547.2024.10780546,,no,,,
20,International Conference,,2024,An Investigation of Group versus Individual Fairness in Perceptually Fair Speech Emotion Recognition,Woan-Shiuan Chien and Chi-Chun Lee,Interspeech,https://interspeech2024.org/,"In Proceeding of Conference of the International Speech Communication Association (Interspeech‘24), Kos Island, Greece, Sep 1-5, 2024.",https://doi.org/10.21437/Interspeech.2024-461,,no,Google Conference Scholarship,,
21,International Conference,,2024,An Inter-Speaker Fairness-Aware Speech Emotion Regression Framework,"Hsing-Hang Chou, Woan-Shiuan Chien, Ya-Tse Wu and Chi-Chun Lee",Interspeech,https://interspeech2024.org/,"In Proceeding of Conference of the International Speech Communication Association (Interspeech‘24), Kos Island, Greece, Sep 1-5, 2024.",https://doi.org/10.21437/Interspeech.2024-471,,no,,,
22,International Conference,,2024,Balancing Speaker-Rater Fairness for Gender-Neutral Speech Emotion Recognition,"Woan-Shiuan Chien, Shreya G. Upadhyay and Chi-Chun Lee",ICASSP,https://2024.ieeeicassp.org/,"In Proceeding of the 49th IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP’24), Seoul, Korea, April 14-19, 2024.",https://doi.org/10.1109/ICASSP48485.2024.10447167,,no,ACLCLP Outstanding Students Conference Travel Grant|Merry Electroacoustic Thesis Award Finalist,,
23,International Conference,,2024,In-The-Wild Physiological-Based Stress Detection Using Federated Strategy,"Po-Chen Lin, Jeng-Lin Li, Woan-Shiuan Chien and Chi-Chun Lee",ICASSP,https://2024.ieeeicassp.org/,"In Proceeding of the 49th IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP’24), Seoul, Korea, April 14-19, 2024.",https://doi.org/10.1109/ICASSP48485.2024.10446004,,no,,,
24,International Conference,,2023,An Intelligent Infrastructure Toward Large Scale Naturalistic Affective Speech Corpora Collection,"Shreya G. Upadhyay*, Woan-Shiuan Chien*, Bo-Hao Su, Lucas Goncalves, Ya-Tse Wu, Ali N. Salman, Carlos Busso and Chi-Chun Lee",ACII,https://acii-conf.net/2023/,"In Proceeding of the 11th International Conference on Affective Computing & Intelligent Interaction (ACII ‘23), 2023",https://doi.org/10.1109/ACII59096.2023.10388175,,no,AAAC ACII 2023 Travel Bursary,,
25,International Conference,,2023,Achieving Fair Speech Emotion Recognition via Perceptual Fairness,Woan-Shiuan Chien and Chi-Chun Lee,ICASSP,https://2023.ieeeicassp.org/,"In Proceeding of the 48th IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP’23), Rhodes Island, Greece, June 4-10, 2023.",https://doi.org/10.1109/ICASSP49357.2023.10094984,,no,IEEE SPS ICASSP Travel Grant|IEEE PROGRESS Student Travel Awards|Google Conference Scholarship|ACLCLP Outstanding Students Conference Travel Grant,,
26,International Conference,,2023,Phonetic Anchor-Based Transfer Learning To Facilitate Unsupervised Cross-Lingual Speech Emotion Recognition,"Shreya G. Upadhyay, Luz Martinez-Lucas, Bo-Hao Su, Wei-Cheng Lin, Woan-Shiuan Chien, Ya-Tse Wu, William Katz, Carlos Busso and Chi-Chun Lee",ICASSP,https://2023.ieeeicassp.org/,"In Proceeding of the 48th IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP’23), Rhodes Island, Greece, June 4-10, 2023.",https://doi.org/10.1109/ICASSP49357.2023.10095250,,no,,,
27,International Conference,,2022,Monologue versus Conversation: Differences in Emotion Perception and Acoustic Expressivity,"Woan-Shiuan Chien, Shreya G. Upadhyay, Wei-Cheng Lin, Ya-Tse Wu, Bo-Hao Su, Carlos Busso and Chi-Chun Lee",ACII,https://acii-conf.net/2022/,"In Proceeding of the 10th International Conference on Affective Computing & Intelligent Interaction (ACII’22), Hybrid Event / Nara, Japan, October 18-21, 2022.",https://doi.org/10.1109/ACII55700.2022.9953814,,no,,,
28,International Conference,,2021,Self-assessed Emotion Classification from Acoustic and Physiological Features within Small-group Conversation,"Woan-Shiuan Chien, Huang-Cheng Chou and Chi-Chun Lee",ICMI,https://icmi.acm.org/2021/,"In Companion Publication of the 23rd ACM International Conference on Multimodal Interaction (ICMI’21), Hybrid Event / Montreal, Canada, October 18-22, 2021.",https://doi.org/10.1145/3461615.348541,,no,,,
29,International Conference,,2021,Belongingness and Satisfaction Recognition from Physiological Synchrony with A Group-Modulated Attentive BLSTM under Small-group Conversation,"Woan-Shiuan Chien, Huang-Cheng Chou and Chi-Chun Lee",ICMI,https://icmi.acm.org/2021/,"In Companion Publication of the 23rd ACM International Conference on Multimodal Interaction (ICMI’21), Hybrid Event / Montreal, Canada, October 18-22, 2021.",https://doi.org/10.1145/3461615.3485410,,no,,,
30,International Conference,,2021,“Does it Matter When I Think You Are Lying?” Improving Deception Detection by Integrating Interlocutor’s Judgements in Conversations,"Huang-Cheng Chou, Woan-Shiuan Chien, Da-Cheng Juan and Chi-Chun Lee",ACL,https://2021.aclweb.org/,"In Findings of the Joint Conference of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (ACL-IJCNLP’21), Virtual Event / Bangkok, Thailand, August 1-6, 2021.",https://doi.org/10.18653/v1/2021.findings-acl.162,,no,Merry Electroacoustic Thesis Award,,
31,International Conference,,2020,Cross Corpus Physiological-based Emotion Recognition Using a Learnable Visual Semantic Graph Convolutional Network,"Woan-Shiuan Chien, Hao-Chun Yang and Chi-Chun Lee",ACMMM,https://2020.acmmm.org/,"In Proceedings of the 25th ACM International Conference on Multimedia (MM’20), Virtual Event / Seattle, USA, October 12-16, 2020.",https://doi.org/10.1145/3394171.3413552,,no,,Acceptance rate: 27.8%,
32,International Conference,,2017,Identification of Myocardial Ischemic and Infarction Episodes Based on ST Level and Beat Type Re-attribution Method,Woan-Shiuan Chien and Sung-Nien Yu,ICBIP,https://www.icbip.org/icbip2017.html,"In Proceedings of the 2nd International Conference on Biomedical Signal and Image Processing (ICBIP’17), Kitakyushu, Japan, August 23-25, 2017.",https://doi.org/10.1145/3133793.3133807,,no,,,
33,Patents,US Patents,2025,"Method, Model Training Method and Computer Program Product for Speech Emotion Recognition",Woan-Shiuan Chien and Chi-Chun Lee,,,"Patent App. US (issued XX XX, 2025)",,,no,,,
34,Patents,US Patents,2022,Recognition System and Recognition Method,Woan-Shiuan Chien and Tzu-Lan Shen,,,"Patent App. US11216729 (issued Jan 4, 2022)",,,no,,,
35,Patents,TW Patents,2026,基於心血管生理訊號的壓力檢測方法與系統,"陳品肇, 簡婉軒, 李祈均",,,"Patent App. TWI859906 (issued Jan XX, 2026)",,,no,,,
36,Patents,TW Patents,2026,基於聯邦學習的模型訓練方法與系統,"林柏辰, 李政霖, 簡婉軒, 李祈均",,,"Patent App. TWI910914 (issued Jan 1, 2026)",,,no,,,
37,Patents,TW Patents,2024,語音情緒的辨識方法、模型訓練方法與電腦程式產品,"簡婉軒, 李祈均",,,"Patent App. TWI859906 (issued Oct 21, 2024)",,,no,,,
38,Patents,TW Patents,2022,微控制器更新系統和方法,簡婉軒,,,"Patent App. TWI780382 (issued Oct 11, 2022)",,,no,,,
39,Patents,TW Patents,2020,辨識系統及辨識方法,"簡婉軒, 沈子嵐",,,"TW Patent App. TW1682325 (issued Jan 11, 2020)",,,no,,,
